height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 755
P.y = 15.369075, Pt.y = 0.000000, Q.y = 15.369075, Qt.y = 0.000000, R.y = 15.369075, Rt.y = 0.000000, S.y = 15.369075, St.y = 0.000000
P.y = 15.305375, Pt.y = 0.000000, Q.y = 15.305375, Qt.y = 0.000000, R.y = 15.305375, Rt.y = 0.000000, S.y = 15.305375, St.y = 0.000000
P.y = 15.241239, Pt.y = 0.000000, Q.y = 15.241239, Qt.y = 0.000000, R.y = 15.241239, Rt.y = 0.000000, S.y = 15.241239, St.y = 0.000000
P.y = 15.176668, Pt.y = 0.000000, Q.y = 15.176668, Qt.y = 0.000000, R.y = 15.176668, Rt.y = 0.000000, S.y = 15.176668, St.y = 0.000000
P.y = 15.111662, Pt.y = 0.000000, Q.y = 15.111662, Qt.y = 0.000000, R.y = 15.111662, Rt.y = 0.000000, S.y = 15.111662, St.y = 0.000000
P.y = 15.046221, Pt.y = 0.000000, Q.y = 15.046221, Qt.y = 0.000000, R.y = 15.046221, Rt.y = 0.000000, S.y = 15.046221, St.y = 0.000000
P.y = 14.980345, Pt.y = 0.000000, Q.y = 14.980345, Qt.y = 0.000000, R.y = 14.980345, Rt.y = 0.000000, S.y = 14.980345, St.y = 0.000000
P.y = 14.914034, Pt.y = 0.000000, Q.y = 14.914034, Qt.y = 0.000000, R.y = 14.914034, Rt.y = 0.000000, S.y = 14.914034, St.y = 0.000000
P.y = 14.847287, Pt.y = 0.000000, Q.y = 14.847287, Qt.y = 0.000000, R.y = 14.847287, Rt.y = 0.000000, S.y = 14.847287, St.y = 0.000000
P.y = 14.780106, Pt.y = 0.000000, Q.y = 14.780106, Qt.y = 0.000000, R.y = 14.780106, Rt.y = 0.000000, S.y = 14.780106, St.y = 0.000000
P.y = 14.728366, Pt.y = 0.000000, Q.y = 14.728366, Qt.y = 0.000000, R.y = 14.728366, Rt.y = 0.000000, S.y = 14.728366, St.y = 0.000000
P.y = 14.676372, Pt.y = 0.000000, Q.y = 14.676372, Qt.y = 0.000000, R.y = 14.676372, Rt.y = 0.000000, S.y = 14.676372, St.y = 0.000000
P.y = 14.624122, Pt.y = 0.000000, Q.y = 14.624122, Qt.y = 0.000000, R.y = 14.624122, Rt.y = 0.000000, S.y = 14.624122, St.y = 0.000000
P.y = 14.571617, Pt.y = 0.000000, Q.y = 14.571617, Qt.y = 0.000000, R.y = 14.571617, Rt.y = 0.000000, S.y = 14.571617, St.y = 0.000000
P.y = 14.518857, Pt.y = 0.000000, Q.y = 14.518857, Qt.y = 0.000000, R.y = 14.518857, Rt.y = 0.000000, S.y = 14.518857, St.y = 0.000000
P.y = 14.465841, Pt.y = 0.000000, Q.y = 14.465841, Qt.y = 0.000000, R.y = 14.465841, Rt.y = 0.000000, S.y = 14.465841, St.y = 0.000000
P.y = 14.412571, Pt.y = 0.000000, Q.y = 14.412571, Qt.y = 0.000000, R.y = 14.412571, Rt.y = 0.000000, S.y = 14.412571, St.y = 0.000000
