height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 349
P.y = 13.402784, Pt.y = 0.000000, Q.y = 13.402784, Qt.y = 0.000000, R.y = 13.402784, Rt.y = 0.000000, S.y = 13.402784, St.y = 0.000000
P.y = 13.327024, Pt.y = 0.000000, Q.y = 13.327024, Qt.y = 0.000000, R.y = 13.327024, Rt.y = 0.000000, S.y = 13.327024, St.y = 0.000000
P.y = 13.250832, Pt.y = 0.000000, Q.y = 13.250832, Qt.y = 0.000000, R.y = 13.250832, Rt.y = 0.000000, S.y = 13.250832, St.y = 0.000000
P.y = 13.174207, Pt.y = 0.000000, Q.y = 13.174207, Qt.y = 0.000000, R.y = 13.174207, Rt.y = 0.000000, S.y = 13.174207, St.y = 0.000000
P.y = 13.097149, Pt.y = 0.000000, Q.y = 13.097149, Qt.y = 0.000000, R.y = 13.097149, Rt.y = 0.000000, S.y = 13.097149, St.y = 0.000000
P.y = 13.019659, Pt.y = 0.000000, Q.y = 13.019659, Qt.y = 0.000000, R.y = 13.019659, Rt.y = 0.000000, S.y = 13.019659, St.y = 0.000000
P.y = 12.941736, Pt.y = 0.000000, Q.y = 12.941736, Qt.y = 0.000000, R.y = 12.941736, Rt.y = 0.000000, S.y = 12.941736, St.y = 0.000000
P.y = 12.863381, Pt.y = 0.000000, Q.y = 12.863381, Qt.y = 0.000000, R.y = 12.863381, Rt.y = 0.000000, S.y = 12.863381, St.y = 0.000000
P.y = 12.784594, Pt.y = 0.000000, Q.y = 12.784594, Qt.y = 0.000000, R.y = 12.784594, Rt.y = 0.000000, S.y = 12.784594, St.y = 0.000000
P.y = 12.705374, Pt.y = 0.000000, Q.y = 12.705374, Qt.y = 0.000000, R.y = 12.705374, Rt.y = 0.000000, S.y = 12.705374, St.y = 0.000000
P.y = 12.625721, Pt.y = 0.000000, Q.y = 12.625721, Qt.y = 0.000000, R.y = 12.625721, Rt.y = 0.000000, S.y = 12.625721, St.y = 0.000000
P.y = 12.545636, Pt.y = 0.000000, Q.y = 12.545636, Qt.y = 0.000000, R.y = 12.545636, Rt.y = 0.000000, S.y = 12.545636, St.y = 0.000000
P.y = 12.465118, Pt.y = 0.000000, Q.y = 12.465118, Qt.y = 0.000000, R.y = 12.465118, Rt.y = 0.000000, S.y = 12.465118, St.y = 0.000000
P.y = 12.384168, Pt.y = 0.000000, Q.y = 12.384168, Qt.y = 0.000000, R.y = 12.384168, Rt.y = 0.000000, S.y = 12.384168, St.y = 0.000000
P.y = 12.302785, Pt.y = 0.000000, Q.y = 12.302785, Qt.y = 0.000000, R.y = 12.302785, Rt.y = 0.000000, S.y = 12.302785, St.y = 0.000000
P.y = 12.220969, Pt.y = 0.000000, Q.y = 12.220969, Qt.y = 0.000000, R.y = 12.220969, Rt.y = 0.000000, S.y = 12.220969, St.y = 0.000000
P.y = 12.138721, Pt.y = 0.000000, Q.y = 12.138721, Qt.y = 0.000000, R.y = 12.138721, Rt.y = 0.000000, S.y = 12.138721, St.y = 0.000000
P.y = 12.056041, Pt.y = 0.000000, Q.y = 12.056041, Qt.y = 0.000000, R.y = 12.056041, Rt.y = 0.000000, S.y = 12.056041, St.y = 0.000000
P.y = 11.972928, Pt.y = 0.000000, Q.y = 11.972928, Qt.y = 0.000000, R.y = 11.972928, Rt.y = 0.000000, S.y = 11.972928, St.y = 0.000000
P.y = 11.904765, Pt.y = 0.000000, Q.y = 11.904765, Qt.y = 0.000000, R.y = 11.904765, Rt.y = 0.000000, S.y = 11.904765, St.y = 0.000000
P.y = 11.836314, Pt.y = 0.000000, Q.y = 11.836314, Qt.y = 0.000000, R.y = 11.836314, Rt.y = 0.000000, S.y = 11.836314, St.y = 0.000000
P.y = 11.767575, Pt.y = 0.000000, Q.y = 11.767575, Qt.y = 0.000000, R.y = 11.767575, Rt.y = 0.000000, S.y = 11.767575, St.y = 0.000000
P.y = 11.698548, Pt.y = 0.000000, Q.y = 11.698548, Qt.y = 0.000000, R.y = 11.698548, Rt.y = 0.000000, S.y = 11.698548, St.y = 0.000000
P.y = 11.629232, Pt.y = 0.000000, Q.y = 11.629232, Qt.y = 0.000000, R.y = 11.629232, Rt.y = 0.000000, S.y = 11.629232, St.y = 0.000000
P.y = 11.559628, Pt.y = 0.000000, Q.y = 11.559628, Qt.y = 0.000000, R.y = 11.559628, Rt.y = 0.000000, S.y = 11.559628, St.y = 0.000000
P.y = 11.489737, Pt.y = 0.000000, Q.y = 11.489737, Qt.y = 0.000000, R.y = 11.489737, Rt.y = 0.000000, S.y = 11.489737, St.y = 0.000000
